K,G,f_ch4 (kg/s/m),f_ch4_err (kg/s/m),f_ch4_err (%),f_ch4_err_term1_avg (%),f_ch4_err_term2_avg (%),f_ch4_err_term3_avg (%),C_ch4_avg (kg/m^3),C_ch4_err_avg (kg/m^3),C_ch4_err_avg (%),C_ch4_err_term1_avg (%),C_ch4_err_term2_avg (%),chi_ch4_avg (ppb),chi_ch4_err_avg (ppb),chi_ch4_err_avg (%),chi_ch4_err_term1_avg (%),chi_ch4_err_term2_avg (%),rho_avg (kg/m^3),rho_err_avg (kg/m^3),rho_err_avg (%),xwind_avg (m/s),xwind_avg_err (m/s),xwind_avg_err (%),dt_avg (s),dt_err_avg (s),dt_err_avg (%),vh_avg (s),vh_err_avg (s),ds_avg (s),ds_err_avg (s),ds_err_avg (%),z_avg (m),z_std (m),Start_UTC,End_UTC,z_low (m),z_high (m),delta_z (m),F_tot_k (kg/s),F_tot_k_err (kg/s),F_tot_k_err_term1 (%),F_tot_k_err_term2 (%)
0,0,3.534168723391241e-07,2.938575857007484e-07,2396.013490461234,97.49142104710316,0.5568147779975104,1.9517641748993169,-3.355241683371617e-11,2.359534114633189e-09,-61.59652822181613,99.95944007140378,0.0405599285962108,-6.712845977312852e-11,4.169211985564329e-09,-61.59639153107484,5.752969145443579,94.2470308545564,1.0217598528677312,0.0137666940971149,1.347349643430837,-2.161183486107631,0.3916532172844809,-1.9890278162581811,1.2307692307692308,0.1,8.125,1.064365568315077,5.021879973503175,1.3099883917724024,0.123707863977403,9.6146801119171,13.95963571428581,0.1415419799773791,2023-06-06 17:49:56,2023-06-06 17:50:12,11.919644708994788,13.994985262803315,2.0753405538085268,7.334603675655553e-07,6.119027070981851e-07,0.6683136664860577,99.33168633351394
1,0,4.761712299171767e-06,1.5610094436490596e-06,22255.482145347505,85.18867874448257,2.8676627723957133,11.94365848312171,-4.876955414598783e-10,2.361272794299212e-09,-57.76280260771648,99.80513244308976,0.1948675569102117,-8.643846877305787e-10,4.169211985564329e-09,-57.76092622632829,5.752969145443579,94.2470308545564,1.021723352605826,0.013764625862991,1.347196073824558,-4.117189805625323,0.3398234489191272,-1.2499035260063038,1.161904761904762,0.1,8.60655737704918,0.8422721735286552,45.613867529928825,0.9786400492428188,0.1049489674297752,49.85763417184069,14.03033481132082,0.2074506647293805,2023-06-06 17:50:14,2023-06-06 17:52:16,13.994985262803315,14.065684359838325,0.07069909703501054,3.3664875989194786e-07,9.939662309808127e-07,98.76719174130685,1.2328082586931532
2,0,7.237426743251887e-07,2.687812079465116e-07,4357.552451188073,77.818292660525,6.750449734553554,15.43125760492145,5.392367641957736e-09,2.357917469223788e-09,29.47780111495484,99.47493576738968,0.5250642326103473,9.557074008454029e-09,4.169211985564329e-09,29.45710882250817,5.752969145443579,94.2470308545564,1.0185858068656657,0.0137037829770811,1.3453727270392355,-2.254060197663107,0.2535246989801245,3.641846388571608,1.3846153846153846,0.1,7.222222222222222,0.6853570073532779,19.259029196943384,0.948955856335308,0.1027979603568832,21.91060866027929,9.879653703703768,0.6337357776862641,2023-06-06 17:52:30,2023-06-06 17:53:06,9.689073367003427,11.919644708994788,2.230571341991361,1.6143596683259526e-06,7.548599174300474e-07,36.919183126446,63.080816873553985
3,0,2.1372527652480904e-06,6.019332795108612e-07,3339.422893758217,76.72257203980807,6.490011384700819,16.7874165754911,-8.203390657869211e-09,2.3561664583927877e-09,-28.47429134914184,99.67033811621408,0.3296618837859265,-1.4545668322668352e-08,4.169211985564329e-09,-28.442763305375767,5.752969145443579,94.2470308545564,1.0188257080229106,0.0137080573053177,1.345474358207781,-1.5868290080329082,0.2775872052938448,-1.0638233880152497,1.09375,0.1,9.142857142857142,1.4780427067372546,3.664847349280278,1.6166092104938723,0.1582313017931081,9.910541998060944,9.498493030303086,0.1584670395991146,2023-06-06 17:53:08,2023-06-06 17:53:43,8.660340666094973,9.689073367003427,1.0287327009084546,2.1986618097177313e-06,7.057979905654342e-07,23.026547659502178,76.97345234049781
4,0,9.116403127405186e-07,4.840050065149792e-07,2648.843721542384,93.28829069737613,0.632488060030484,6.079221242593408,-3.855952022215911e-09,2.359677744559301e-09,33.96094199439842,99.8351760352527,0.1648239647473072,-6.813040907189391e-09,4.169211985564329e-09,33.97572825340176,5.752969145443579,94.2470308545564,1.021187971524746,0.0137430772737138,1.345791197796247,-7.634010113883544,0.2701940982207412,-3.635673751309026,1.199999999999997,0.1,8.333333333333353,1.0359821091029904,5.5166937081270975,1.2431785309235852,0.1210891196664498,10.150039913861628,6.052343333333402,0.1598383918162826,2023-06-06 17:54:02,2023-06-06 17:54:26,5.977167456140418,6.4295101149426035,0.45234265880218594,4.1237380293630244e-07,2.6299413978732166e-07,30.698496286923433,69.30150371307657
5,0,5.028786477931376e-07,6.474173334706381e-07,23708.34422126172,98.99785930861756,0.2345372509814062,0.7676034404010564,-6.594030993752793e-10,2.357726068957492e-09,-206.6066007925796,99.97130003102215,0.0286999689778684,-1.16357328733782e-09,4.169211985564329e-09,-206.60406581155144,5.752969145443579,94.2470308545564,1.0210375607377091,0.0137492496385578,1.3465938290065316,-3.734279140842697,0.3156374609392482,7.991399590191831,1.3428571428571427,0.1,7.446808510638299,0.9161886023038928,11.290102079827086,1.2303104088080845,0.1182275852973729,14.711061588890267,5.781817777777854,0.191434157524938,2023-06-06 17:54:42,2023-06-06 17:55:33,5.643837516339941,5.841904678362644,0.1980671620227028,9.96037466102011e-08,1.6034659893255005e-07,36.045059699792425,63.95494030020758
6,0,1.4638283646152407e-06,6.101298728217273e-07,6098.346037975,87.01875641595153,3.149426251193837,9.83181733285464,6.569133286709455e-09,2.358603115457285e-09,-18.1318303796697,99.8010678895716,0.198932110428354,1.162236191927722e-08,4.169211985564329e-09,-18.157077663376807,5.752969145443579,94.2470308545564,1.0205480258600108,0.0137396561262003,1.3462992884568468,-0.8322541255245742,0.3251673148832989,0.5746374048251599,1.1730769230769231,0.1,8.524590163934425,0.6462482617393667,17.744829356369614,0.7580989224250261,0.0921107603157133,21.06584387973258,7.822188301886858,0.4586120547861878,2023-06-06 17:55:36,2023-06-06 17:56:37,7.7808549085192125,8.660340666094973,0.8794857575757602,1.287416198214521e-06,8.594319096680501e-07,61.01664155726093,38.98335844273908
7,0,1.1160187699672286e-06,7.477831585675302e-07,4077.269439266621,96.85586711439544,0.8592889984007592,2.2848438872037504,-5.33007774675612e-10,2.3589042715204063e-09,-69.82540436372301,99.94031543453778,0.0596845654622347,-9.425076499435966e-10,4.169211985564329e-09,-69.82335294419933,5.752969145443579,94.2470308545564,1.0213894535407877,0.0137561378686863,1.3468047827430043,-3.828379952578972,0.3421943818085678,-2.9520365824008588,1.25,0.1,8.0,1.4052539462110851,3.787521789435966,1.7565674327638567,0.1544610904216781,8.892455393750145,6.806676896551804,0.2809418510960554,2023-06-06 17:56:39,2023-06-06 17:57:22,6.4295101149426035,7.260641781609253,0.83113166666665,9.275585403141273e-07,6.961142835916657e-07,20.286857880724906,79.71314211927509
8,0,6.727144789347251e-07,8.240262275817613e-07,129885.106310344,98.82357968473308,0.2285438687839272,0.947876446483002,2.743332972454014e-10,2.357547072531711e-09,-465.2863328917376,99.9832736855791,0.0167263144208929,4.839233362758341e-10,4.169211985564329e-09,-465.2873876944196,5.752969145443579,94.2470308545564,1.021021135091245,0.0137489314947878,1.3465840565885328,-3.450184635160996,0.282492109539323,-3.549688863681423,1.2535211267605637,0.1,7.97752808988764,0.6811702183155627,12.405537268398067,0.8538612595786632,0.0957873792176019,15.65142918207254,5.320930833333389,0.316013312301998,2023-06-06 17:57:24,2023-06-06 17:58:58,1.3302327083333472,5.413394044117709,4.083161335784362,2.7468017504085933e-06,3.371341250858733e-06,0.39761876979408184,99.60238123020589
9,0,1.078760594836436e-06,4.901210431722952e-07,6064.046176491831,84.97251057217765,3.3303893637000552,11.69710006412232,4.046233817250532e-09,2.3580274753473795e-09,6.069969326044481,99.87792459171456,0.1220754082854332,7.161826425715614e-09,4.169211985564329e-09,6.054418711614432,5.752969145443579,94.2470308545564,1.0206909803107258,0.0137424570010012,1.3463842908454873,-3.6790978400716634,0.3071152723739286,-2.671012554173855,1.054054054054054,0.1,9.487179487179487,0.7733623551505996,19.45997421523749,0.8151657256992805,0.0997023534869844,23.678290313689438,5.901991578947434,0.1611143004944667,2023-06-06 17:59:00,2023-06-06 17:59:40,5.841904678362644,5.977167456140418,0.13526277777777374,1.4591615461477987e-07,1.8601825522036514e-07,87.29858315893821,12.70141684106181
